date,open,high,low,close,volume,marcap
2023-12-20,861.96,865.02,860.56,862.98,1117583658,430262572827308
2023-12-21,855.76,867.33,851.82,859.44,1145618422,428449213970818
2023-12-22,863.35,864.79,853.49,854.62,1212763839,426333060285533
2023-12-26,855.75,857.24,846.32,848.34,1078585688,423097874011523
2023-12-27,851.49,860.29,851.21,859.79,1221463001,428391090402708
2023-12-28,860.42,866.57,856.53,866.57,1251153574,431792284696650
2024-01-02,866.08,878.93,865.26,878.93,1154417882,426084860439733
2024-01-03,872.21,872.44,865.12,871.57,1259145225,422560464617857
2024-01-04,865.35,872.79,860.45,866.25,1224264897,420014902125688
2024-01-05,866.81,878.98,864.86,878.33,1047923558,426191476679294
2024-01-08,880.24,882.88,875.34,879.34,1162383415,426868672552920
2024-01-09,886.1,890.06,881.97,884.64,1170608223,429749865145220
2024-01-10,884.08,884.08,872.68,875.46,1270510842,425459540707299
2024-01-11,878.12,885.75,878.12,882.53,1476595168,428957219476629
2024-01-12,878.69,880.3,865.81,868.08,1107335306,410148736041156
2024-01-15,865.45,869.69,855.0,859.71,996410652,406390818141181
2024-01-16,857.39,864.9,846.47,854.83,1032822195,403879277342545
2024-01-17,856.61,856.97,832.7,833.05,1106275262,393681860340762
2024-01-18,834.01,848.63,830.06,840.33,1167940492,397229288077207
2024-01-19,848.66,856.05,837.87,842.67,1220560704,398160126936472
2024-01-22,848.87,849.32,836.89,839.69,1320572642,396689616318072
2024-01-23,840.62,848.65,833.24,840.11,1248018390,396984730255445
2024-01-24,841.45,842.9,828.12,836.21,1417438154,395557643219167
2024-01-25,833.34,833.34,820.64,823.74,1565969491,390353310452432
2024-01-26,818.76,839.52,817.06,837.24,1238780423,398079081213062
2024-01-29,841.21,841.21,815.54,819.14,1246813222,384137204369443
2024-01-30,826.0,828.54,811.57,818.86,1097207246,383976054539469
2024-01-31,813.8,818.9,799.24,799.24,1137249797,374861916613184
2024-02-01,796.26,800.91,786.28,798.73,1124844785,375252532726266
2024-02-02,803.71,817.74,803.71,814.77,1096190538,382771284007782
2024-02-05,812.28,813.83,807.36,807.99,974415250,379742624320544
2024-02-06,804.36,808.39,795.37,807.03,1065542735,379490521402460
2024-02-07,811.51,820.06,809.18,811.92,827984256,381548030041766
2024-02-08,816.82,828.03,816.27,826.58,912499052,388825224165147
2024-02-13,831.14,846.58,830.66,845.15,896289730,397516310558390
2024-02-14,833.24,854.44,831.56,853.3,1086775918,401324744348004
2024-02-15,860.13,861.37,852.79,859.21,1222187510,404623030938354
2024-02-16,863.69,864.24,854.72,857.6,1339167323,403874229640531
2024-02-19,854.28,862.08,853.52,858.47,1272095442,404544728704770
2024-02-20,858.08,866.17,854.58,866.17,1394893803,408188873512280
2024-02-21,861.58,872.38,860.91,864.07,1725464787,407078074686839
2024-02-22,868.22,871.46,864.56,870.11,1482220235,410057237761465
2024-02-23,873.21,875.58,866.22,868.57,1490439010,410504407921475
2024-02-26,869.08,872.52,866.43,867.4,1219639452,410041400279230
2024-02-27,870.1,870.1,850.77,853.75,1190362944,403626145391387
2024-02-28,859.78,868.71,858.56,863.39,1102228439,407720652818802
2024-02-29,862.55,865.88,858.3,862.96,1371169761,407740050432001
2024-03-04,869.36,875.3,869.36,872.97,1138979262,412454545421270
2024-03-05,869.36,869.36,863.4,866.37,1214968007,409359773875014
2024-03-06,861.67,872.06,859.71,870.67,1112038813,411132718480225
2024-03-07,874.3,874.53,860.01,863.37,1142628897,408056247369613
2024-03-08,869.18,873.18,866.18,873.18,1270638021,412693945032967
2024-03-11,870.41,875.93,868.48,875.93,1076998269,414043080903195
2024-03-12,877.37,889.71,876.62,889.71,1056987563,420464094646659
2024-03-13,892.41,894.39,881.33,889.93,1207088059,421190651134097
2024-03-14,889.53,892.31,881.95,887.52,1073829911,420175475244887
2024-03-15,882.67,884.6,875.87,880.46,1106771785,416940444434001
2024-03-18,882.58,894.48,882.58,894.48,973184054,423616009966886
2024-03-19,893.49,893.49,884.45,891.91,1104514231,422378340879205
2024-03-20,894.34,896.44,890.0,891.45,1053005260,422153103145616
2024-03-21,900.46,906.26,899.24,904.29,1066401786,429151069389985
